Sponsor,Total Protocols,Distinct Brands
CELLDEX THERAPEUTICS INC,5,4
ASANA BIOSCIENCES LLC,5,2
OCTAPHARMA PHARMAZEUTIKA PRODUKTIONSGES M B H,5,5
CENTRE INTEGRE UNIVERSITAIRE DE SANTE ET DE SERVICES SOCIAUX DE L'EST DE MONTREA,5,4
SYNDAX PHARMACEUTICALS INC,5,4
SYMPHOGEN A/S,5,5
"SUMITOMO PHARMA AMERICA, INC",5,4
STEMLINE THERAPEUTICS INC,5,4
ST PAUL'S SINUS CENTRE,5,5
"KOWA RESEARCH INSTITUTE, INC",5,4
ENANTA PHARMACEUTICALS INC,5,3
ZOGENIX INTERNATIONAL LIMITED,5,1
CHIESI FARMACEUTICI S.P.A.,5,5
GLOBAL BLOOD THERAPEUTICS INC,5,3
THE MEDICINES COMPANY,4,4
CELGENE INTERNATIONAL II SARL (CIS II),4,3
DAY ONE BIOPHARMACEUTICALS INC,4,4
SHIRE PHARMA CANADA ULC,4,4
"ASTRIA THERAPEUTICS, INC.",4,3
ID BIOMEDICAL CORPORATION OF QUEBEC,4,3
ALK- ABELLO A/S,4,4
"SURFACE ONCOLOGY, INC.",4,4
CATABASIS PHARMACEUTICALS INC,4,2
1GLOBE HEALTH INSTITUTE,4,4
"KITE, A GILEAD COMPANY",4,4
"DERMAVANT SCIENCES, INC",4,1
ESCIENT PHARMCEUTICALS INC,4,2
CANCER CARE PROVINCIAL HEALTH CORPORATION,4,4
"ORUKA THERAPEUTICS, INC.",4,2
INFINITY PHARMACEUTICALS INC,4,4
"INOVIO PHARMACEUTICALS, INC.",4,2
OTONOMY INC,4,2
ACADIA PHARMACEUTICALS INC,4,2
TURNSTONE BIOLOGICS,4,4
"ANTHOS THERAPEUTICS, INC.",4,2
NATIONAL INSTITUTE OF HEALTH,4,4
EVELO BIOSCIENCES INC,4,3
"ALBERTA HEALTH SERVICES, CROSS CANCER INSTITUTE",4,4
EISAI LIMITED,4,4
MYOVANT SCIENCES GMBH,4,2
"VIR BIOTECHNOLOGY, INC.",4,4
DOW PHARMACEUTICAL SCIENCES,4,2
ARIAD PHARMACEUTICALS INC,4,3
DR MATTHIAS FRIEDRICH,4,2
MONTREAL NEUROLOGICAL INSTITUTE,4,4
"BAUSCH HEALTH AMERICAS, INC.",4,4
MOMENTA PHARMACEUTICALS INC,4,2
"MITSUBISHI TANABE PHARMA AMERICA, INC.",4,2
UNIVERSITY OF OTTAWA HEART INSTITUTE,4,4
ST. MICHAEL'S HOSPITAL UNITY HEALTH TORONTO,4,4
PEDIATRIC BRAIN TUMOUR CONSORTIUM,4,4
"EMALEX BIOSCIENCES, INC",4,2
UNIVERSITY OF OTTAWA INSTITUTE OF MENTAL HEALTH RESEARCH,4,3
BIOGEN IDEC MA INC,4,4
AKCEA THERAPEUTICS INC,4,4
INVERSAGO PHARMA INC,4,2
SEATTLE GENETICS INC,4,4
PEPGEN INC.,4,2
KALVISTA PHARMACEUTICALS LTD.,4,2
"MERSANA THERAPEUTICS, INC",4,4
CHEMOCENTRYX INC,4,3
MERRIMACK PHARMACEUTICALS,4,4
ARBUTUS BIOPHARMA CORPORATION,4,4
BLOORVIEW RESEARCH INSTITUTE,4,4
BRAIN AND COGNITION DISCOVERY FOUNDATION,4,3
PRINCESS MARGARET HOSPITAL,4,4
"IOVANCE BIOTHERAPEUTICS, INC",4,4
BELLUS HEALTH INC,4,3
UNIVERSITÉ DE SHERBROOKE,4,4
IPSEN BIOSCIENCE INC,4,3
PHARMAESSENTIA CORPORATION,4,2
MEDIVATION INC,4,4
IPSEN PHARMA,4,3
"USWM CT, LLC",4,3
"COGENT BIOSCIENCES, INC.",4,3
REVERAGEN BIOPHARMA INC,4,2
ADAMAS PHARMACEUTICALS INC.,4,1
SHIONOGI INC,4,4
ASTELLAS PHARMA EUROPE B.V.,4,2
