Medical Condition,Protocol Count
PLATINUM-RESISTANT OVARIAN CANCER,10
CHYLOMICRONEMIA,10
ACUTE ISCHEMIC STROKE,10
MYELOPROLIFERATIVE NEOPLASMS,10
ER+/HER2-BREAST CANCER,10
FRACTURES,10
FRONTOTEMPORAL DEMENTIA,10
ISCHEMIC ATTACK AND MINOR STROKE,10
GASTROINTESTINAL CANCER,10
INFERTILITY,10
THYROID CANCER,9
SLEEP APNEA,9
NON ALCOHOLIC FATTY LIVER DISEASE (NAFLD),9
B-CELL ACUTE LYMPHOBLASTIC LEUKEMIA,9
END STAGE RENAL DISEASE,9
MEDULLOBLASTOMA,9
BRONCHIECTASIS,9
UVEAL MELANOMA,9
THROMBOCYTOPENIA,9
GASTROESOPHAGEAL ADENOCARCINOMA,9
HYPERTROPHIC CARDIOMYOPATHY,9
FOCAL SEGMENTAL GLOMERULOSCLEROSIS,9
OBSESSIVE COMPULSIVE DISORDER,9
ACTIVE PSORIATIC ARTHRITIS,9
FAMILIAL CHYLOMICRONEMIA SYNDROME,9
PLEURAL MESOTHELIOMA,9
ANASTHESIA,9
CHRONIC MYELOMONOCYTIC LEUKEMIA (CMML-2),9
ESSENTIAL THROMBOCYTHEMIA,9
ANOREXIA,9
CHRONIC MYELOGENOUS LEUKEMIA (CML),9
ALAGILLE SYNDROME,8
PALMOPLANTAR PUSTULOSIS,8
IMMUNOGLOBULIN A NEPHROPATHY,8
HYPOTENSION,8
CELIAC DISEASE,8
OSTEOGENESIS IMPERFECTA,8
SJOGREN'S SYNDROME,8
PRIMARY MYELOFIBROSIS (PMF),8
VASCULAR INFLAMMATION,8
ALLERGIC CONJUNCTIVITIS,8
RETINOPATHY OF PREMATURITY,8
FOCAL SEGMENTAL GLOMERULOSCLEROSIS (FSGS),8
SOMATOSTATIN RECEPTOR POSITIVE TUMOURS,8
COLORECTAL CARCINOMA,8
CORONARY HEART DISEASE OR HIGH RISK OF CORONONARY HEART DISEASE,8
ALPHA-1 ANTITRYPSIN DEFICIENCY (AATD),8
LOWER RESPIRATORY TRACT INFECTION,8
OSTEOSARCOMA,8
DYSLIPIDEMIA,8
HEPATITIS C VIRUS GENOTYPE 3,8
VON WILLEBRAND DISEASE,8
ANALGESIA,8
OPIOID USE DISORDER,8
ATHEROSCLEROSIS,7
CHRONIC SPONTANEOUS URTICARIA (CSU),7
OROPHARYNX CANCER,7
CRITICALLY ILL,7
OSTEOPOROSIS,7
CUSHING'S DISEASE,7
OVARIAN CANCER PRIMARY PERITONEAL,7
URINARY TRACT INFECTION,7
HYPOPARATHYROIDISM,7
PERIOPERATIVE PAIN,7
POLYANGITIS,7
POSTURAL ORTHOSTATIC TACHYCARDIA SYNDROME,7
PRADER-WILLI SYNDROME,7
PRIMARY BILIARY CIRRHOSIS,7
PRIMARY IMMUNODEFICIENCY DISEASES,7
MIXED DYSLIPIDEMIA,7
UTERINE FIBROIDS,7
DYSLIPIDEAMIA,7
METASTATIC CANCERS,7
MENTAL HEALTH CONCERNS,7
MENINGITIS,7
MASTOCYTOSIS,7
RETT SYNDROME,7
SEPTIC SHOCK,7
SHOULDER SURGERY,7
SICKLE CELL ANEMIA,7
ANGELMAN SYNDROME (AS),7
SPINAL CORD INJURY,7
LENNOX-GASTAUT SYNDROME,7
SUBARACHNOID HEMORRHAGE,7
ISLET TRANSPLANTATION,7
GLYCEMIA,7
INTRACEREBAL HEMORRAGE,7
THROMBOCYTHEMIA MYELOFIBROSIS,7
INTERSTITIAL CYSTITIS/BLADDER PAIN SYNDROME,7
GASTROPARESIS,7
GIANT CELL ARTERITIS,7
HUMAN PAPILLOMA VIRUS (HPV),7
COLON CANCER,7
FRAGILE X SYNDROME,6
SUPRAVENTRICULAR TACHYCARDIA,6
CESAREAN DELIVERY,6
CHRONIC THROMBOEMBOLIC PULMONARY HYPERTENSION (CTEPH),6
HYPERKALEMIA,6
SHORT BOWEL SYNDROME,6
SPINAL CORD LESION,6
NON-SQUAMOUS CARCINOMA OF THE LUNG,6
HIP ARTHROPLASTY,6
DIFFUSE INTRINSIC PONTINE GLIOMAS,6
LYMPHOID MALIGNANCIES,6
WEIGHT GAIN,6
TRANSTHYRETIN MEDIATED AMYLOIDOSIS,6
PERITONEAL CARCINOMA,6
PERIPHERAL T CELL LYMPHOMA,6
TUBERCULOSIS,6
HYPEROXALURIA,6
MAJOR CARDIOVASCULAR EVENTS,6
ESSENTIAL TREMOR,6
HEPATIC ENCEPHALOPATHY,6
HEREDITARY HAEMORRHAGIC TELANGIECTASIA,6
METASTATIC PANCREATIC DUCTAL ADENOCARCINOMA,6
PROGRESSIVE FAMILIAL INTRAHEPATIC CHOLESTASIS,6
DYSKINESIA,6
BLOOD LOSS,6
NON-CYSTIC FIBROSIS BRONCHIECTASIS,6
PSYCHOSIS,6
PYRUVATE KINASE DEFICIENCY,6
ACTINIC KERATOSIS,6
PANCREATIC NEUROENDOCRINE TUMORS,6
MENOPAUSE-RELATED VASOMOTOR SYMPTOMS,6
SUBSTANCE ABUSE,6
HER2 NEGATIVE METASTATIC OR LOCALLY ADVANCED UNRESECTABLE BRCA ASSOCIATED BREAST CANCER,6
LIPOSARCOMA,6
SUICIDALITY,6
VENOUS THROMBOSIS,6
PROSTATE ADENOCARCINOMA,6
GERM CELL TUMOUR,6
HYPOGONADAL,6
BRONCHOPULMONARY DYSPLASIA,6
RETINITIS PIGMENTOSA (RP),6
MALIGNANT PLEURAL MESOTHELIOMA,6
AUTOSOMAL DOMINANT POLYCYSTIC KIDNEY DISEASE,6
TRANSFUSION DEPENDENT THALASSEMIA,5
HEPATITIS C VIRUS GENOTYPE 1 OR 4,5
IMMUNE THROMBOCYTOPENIA (ITP),5
NEURODEGENERATIVE DISEASES,5
MERKEL CELL CARCINOMA,5
IGG4 RELATED DISEASE,5
BRAF MUTATION-POSITIVE TUMORS,5
MELANOMA WITH BRAF MUTATION,5
RENAL FAILURE,5
DRY EYE DISEASE,5
RENAL INSUFFICIENCY,5
AXIAL SPONDYLARTHRITIS,5
MUCOPOLYSACCHARIDOSIS TYPE II (MPS II),5
AUTOIMMUNE HEPATITIS,5
ROSACEA,5
EOSINOPHILIC GRANULOMATOSIS,5
BURN,5
ARTICULAR CARTILAGE INJURY,5
IDIOPATHIC INFLAMMATORY MYOPATHY,5
IDIOPATHIC CONSTIPATION,5
EPSTEIN-BARR VIRUS (EBV) INFECTION,5
SJÖGREN'S SYNDROME,5
ACUTE MYOCARDIAL INFARCTION,5
POST-POLYCYTHEMIA VERA MYELOFIBROSIS,5
DIABETIC KIDNEY DISEASE,5
ANEURYSMAL SUBARACHNOID HEMORRHAGE,5
DIABETIC GASTROPARESIS,5
PHENYLKETONURIA,5
FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY,5
LIMB SPASTICITY,5
HEMODIALYSIS,5
LATENT TUBERCULOSIS (TB) INFECTION,5
CATARACT SURGERY,5
PERICARDITIS,5
FIBRODYSPLASIA OSSIFICANS PROGRESSIVA (FOP),5
LABOUR,5
COLD AGGLUTININ DISEASE,5
SUBDURAL HEMATOMA,5
PAROXYSMAL SUPRAVENTRICULAR TACHYCARDIA (PSVT),5
DELIRIUM,5
KIDNEY TRANSPLANT REJECTION,5
ACUTE RESPIRATORY DISTRESS SYNDROME (ARDS),5
HUNTER SYNDROME,5
IRRITABLE BOWEL SYNDROME,5
NON-SQUAMOUS/SQUAMOUS NSCLC,5
CHOLESTATIC LIVER DISEASE,5
NON-SMALL CELL LUNG CANCER - CACHEXIA (NSCLC-C),5
ADVANCED MALIGNANT TUMORS,5
CUTANEOUS MELANOMA,5
GLYCOGEN STORAGE DISEASE TYPE IA,5
URINARY INCONTINENCE,5
CHRONIC LOW BACK PAIN,5
ULCERS,5
CORONARY ARTERY DISEASE,5
XEROSTOMIA,4
ADVANCED LUNG CANCER,4
ALPORT SYNDROME,4
ANTIBODY AUTOIMMUNE HEMOLYTIC ANEMIA,4
ANTIPHOSPHOLIPID SYNDROME,4
AORTIC ANEURYSM,4
AORTIC VALVE STENOSIS,4
APPENDICITIS,4
ARGINASE-1 DEFICIENCY,4
ATYPICAL HEMOLYTIC UREMIC SYNDROME (AHUS),4
BETA-THALASSEMIA,4
BILIARY ATRESIA,4
BONE FRACTURES,4
CANCER PAIN,4
CARDIAC ARREST,4
CAT ALLERGY,4
CATECHOLAMINERGIC POLYMORPHIC VENTRICULAR TACHYCARDIA (CPVT),4
CHARCOT-MARIE-TOOTH DISEASE TYPE 1A,4
CHRONIC CLUSTER HEADACHE,4
CHRONIC SUBDURAL HEMATOMA,4
CLOSTRIDIOIDES DIFFICILE,4
CLOSTRIDIUM DIFFICILE-ASSOCIATED DIARRHOEA (CDAD),4
COLORECTAL ADENOCARCINOMA,4
COMMUNITY-ACQUIRED PNEUMONIA,4
CORONARY ARTERY BYPASS GRAFT,4
DERMATOMYOSITIS,4
DESMOID TUMORS,4
DIABETIC NEPHROPATHY,4
DIABETIC NEUROPATHIC PAIN,4
DIABETIC RETINOPATHY,4
ELEVATED LEVELS OF LIPOPROTEIN,4
ESOPHAGEAL SQUAMOUS CELL CARCINOMA (ESCC),4
EYE SURGERY,4
FATIGUE,4
FONTAN PALLIATION,4
FRIEDREICH ATAXIA,4
GASTROESOPHAGEAL REFLUX DISEASE (GERD),4
GAUCHER DISEASE TYPE 1,4
GLIOMA MALIGNANT,4
GLOMERULOPATHY,4
GRANULOMATOSIS WITH POLYANGIITIS (GPA),4
HER2-AMPLIFIED BILIARY TRACT CANCERS,4
HYPOGLYCEMIA UNAWARENESS,4
HYPOPHOSPHATASIA,4
