Sponsor,Total Protocols,Distinct Brands
BAYCREST ROTMAN RESEARCH INSTITUTE,1,1
BAYER AG,1,1
BAYER HEALTHCARE LLC,1,1
BAYER INC,91,65
BC CANCER,1,1
"BC CANCER, PART OF THE PROVINCIAL HEALTH SERVICES AUTHORITY",21,21
"BC CANCER, PART OF THE PROVINCIAL HEALTH SERVICES AUTHORITY - VANCOUVER CENTER",3,3
BC CHILDRENS HOSPITAL,1,1
BC CHILDREN¿S HOSPITAL HEART CENTRE,1,1
BE BIOPHARMA,1,1
BEAT CHILDHOOD CANCER,3,3
BEAT CHILDHOOD CANCER RESEARCH CONSORTIUM,3,3
BEIGENE LTD,1,1
"BEIJING AVISTONE BIOTECHNOLOGY CO., LTD.",1,1
"BELHAVEN BIOPHARMA, INC.",1,1
BELLEROPHON PULSE TECHNOLOGIES LLC,3,1
BELLUS HEALTH INC,4,3
BEONE MEDICINES LTD.,14,13
"BETA BIONICS, INC.",1,1
"BEYOND AIR, INC.",1,1
"BIAL R&D INVESTMENTS, S.A.",1,1
BICARA THERAPEUTICS,2,2
BICYCLETX LIMITED,2,2
"BIOAEGIS THERAPEUTICS, INC.",1,1
BIOBLAST PHARMA LTD,3,2
"BIOCARDIA, INC.",1,1
BIOCRYST PHARMACEUTICALS INC,10,5
BIOGEN CANADA INC,3,3
BIOGEN IDEC INC,1,1
BIOGEN IDEC MA INC,4,4
BIOGEN INC,1,1
BIOGEN MA INCORPORATED,30,21
"BIOHAVEN PHARMACEUTICALS, INC.",1,1
BIOHAVEN THERAPEUTICS LTD,3,2
BIOLINERX LTD,1,1
BIOMARIN PHARMACEUTICAL INC,6,5
"BIOMEA FUSION, INC.",2,1
BIONTECH SE,6,6
BIOREST LTD,1,1
BIOSSIL INC.,1,1
BIOTA SCIENTIFIC MANAGEMENT PTY LTD,1,1
BIOTEST AG,1,1
BIOTIE THERAPIES INC,2,1
BIOVENTUS LLC,1,1
BIOVERATIV THERAPEUTICS INC,3,3
BIOVERATIV USA INC,2,1
"BIRD ROCK BIO, INC",1,1
"BLACK DIAMOND THERAPEUTICS, INC.",1,1
BLOORVIEW RESEARCH INSTITUTE,4,4
"BLOSSOM HILL THERAPEUTICS, INC",1,1
BLUE ROCK THERAPEUTICS,1,1
"BLUEFIN BIOMEDICINE, INC",2,1
BLUEPRINT MEDICINES CORPORATION,8,4
BLUEROCK THERAPEUTICS CANADA ULC,1,1
BOCA RATON REGIONAL HOSPITAL,1,1
BOEHRINGER INGELHEIM (CANADA) LTD LTEE,128,63
BOEHRINGER INGELHEIM INTERNATIONAL GMBH,8,5
BOEHRINGER INGELHEIM PHARMA GMBH & CO. KG,2,1
"BOLD THERAPEUTICS, INC.",1,1
BOND AVILLION 2 DEVELOPMENT LP,2,2
BOSTON PHARMACEUTICALS INC,1,1
BRAIN AND COGNITION DISCOVERY FOUNDATION,4,3
BREPCO BIOPHARMA LIMITED,1,1
BRIACELL THERAPEUTICS CORP.,1,1
BRICKELL BIOTECH INC,1,1
BRIGHAM AND WOMENS HOSPITAL,2,2
BRISTOL-MYERS SQUIBB CANADA,236,188
BRISTOL-MYERS SQUIBB CANADA CO.,27,21
BRISTOL-MYERS SQUIBB COMPANY,1,1
BRITISH COLUMBIA CENTRE ON SUBSTANCE USE,2,2
BRITISH COLUMBIA CHILDRENS HOSPITAL,8,7
BRITISH COLUMBIA WOMENS HOSPITAL,2,2
BRUYÈRE HEALTH RESEARCH INSTITUTE,2,2
BUZZZ PHARMACEUTICALS LIMITED,1,1
C17,7,14
C17 COUNCIL,9,8
"CABALETTA BIO, INC.",2,2
CALADRIUS BIOSCIENCES,1,1
CALCILYTIX THERAPEUTICS INC,1,1
CALITHERA BIOSCIENCES INC,3,3
"CALIWAY BIOPHARMACEUTICALS CO., LTD.",1,1
CALLIDITAS THERAPEUTICS AB,3,3
CAMURUS AB,1,1
CAN-FITE BIOPHARMA LTD,1,1
CANADIAN CANCER TRIALS GROUP,1,1
"CANADIAN CANCER TRIALS GROUP, CANCER RESEARCH INSTITUTE, QUEEN'S UNIVERSITY",97,80
CANADIAN CENTER FOR VACCINOLOGY (CCFV),3,3
"CANADIAN IMMUNIZATION RESEARCH NETWORK (CIRN), DALHOUSIE UNIVERSITY",5,5
CANADIAN MEDICAL AND SURGICAL KNOWLEDGE TRANSLATION RESEARCH GROUP,2,2
CANADIAN MYELOMA RESEARCH GROUP,2,2
CANADIAN UROLOGICAL ONCOLOGY GROUP,1,1
CANADIAN UROLOGY RESEARCH CONSORTIUM,1,1
CANADIAN VIGOUR CENTRE,1,1
CANCER CARE MANITOBA,2,2
CANCER CARE PROVINCIAL HEALTH CORPORATION,4,4
CANFITE BIOPHARMA LIMITED,1,1
CANOPY HEALTH INNOVATIONS INC,2,2
CANSINO BIOLOGICS INC.,1,1
CAPITAL DISTRICT HEALTH AUTHORITY,2,2
CAPRICOR INC,1,1
"CAPSIDA BIOTHERAPEUTICS, INC.",1,1
CARA THERAPEUTICS,5,2
CARDIOL THERAPEUTICS INC,3,1
"CARDURION PHARMACEUTICALS, INC",5,3
CARE ARTHRITIS LTD.,1,1
CARMOT THERAPEUTICS INC.,1,1
CARSGEN THERAPEUTICS CORPORATION,2,2
"CARTESIAN THERAPEUTICS, INC.",2,1
"CASCADIAN THERAPEUTICS, INC",1,1
"CASSAVA SCIENCES, INC.",5,2
CATABASIS PHARMACEUTICALS INC,4,2
CATALYM GMBH,1,1
CATALYST PHARMACEUTICALS INC,1,1
CATALYST PHARMACEUTICALS PARTNERS,1,1
"CELCUITY, INC",1,1
"CELECOR THERAPEUTICS, INC.",1,1
CELGENE INC,38,31
CELGENE INTERNATIONAL II SARL (CIS II),4,3
CELL TECHNOLOGIES INC.,1,1
CELLDEX THERAPEUTICS INC,5,4
"CELLECTAR BIOSCIENCES, INC",1,1
CELLTRION INC,1,1
CELSION CORPORATION,1,1
CELTAXSYS INC,1,1
CEMPRA PHARMACEUTICALS INC,1,1
CENTESSA PHARMACEUTICALS (UK) LIMITED,2,1
CENTRE D'EXCELLENCE EN THÉRAPIE CELLULAIRE - CIUSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,2,2
"CENTRE DE RECHERCHE CERVO, UNIVERSITÉ LAVAL",1,1
CENTRE DE RECHERCHE DU CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,2,2
CENTRE DE RECHERCHE DU CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,2,2
CENTRE DE RECHERCHE DU CHU DE QUEBEC,2,2
CENTRE DE RECHERCHE DU CHUS,3,3
CENTRE FOR ADDICTION AND MENTAL HEALTH,66,55
CENTRE FOR PROBE DEVELOPMENT AND COMMERCIALIZATION,3,3
CENTRE HOSPITALIER AFFILIÉ UNIVERSITAIRE DE QUÉBEC,1,1
CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,24,20
CENTRE HOSPITALIER DE LUNIVERSITÉ LAVAL,1,1
CENTRE HOSPITALIER UNIVERSITAIRE DE QUEBEC,3,3
CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,3,3
CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,17,15
CENTRE INTEGRE UNIVERSITAIRE DE SANTE ET DE SERVICES SOCIAUX DE L'EST DE MONTREA,5,4
CENTRE INTEGRE UNIVERSITAIRE DE SANTE ET DE SERVICES SOCIAUX DE L'ESTRIE,1,1
CENTRE INTÉGRÉ UNIVERSITAIRE DE SANTÉ ET DE SERVICES SOCIAUX,4,4
CENTRE INTÉGRÉ UNIVERSITAIRE DE SANTÉ ET DE SERVICES SOCIAUX DE L'EST-DE-L'ILE-D,1,1
CENTUS BIOTHERAPEUTICS LIMITED,1,1
CERENIS THERAPEUTICS SA,1,1
CEREVEL THERAPEUTICS LLC,3,2
"CERIUM PHARMACEUTICALS, INC.",1,1
"CG ONCOLOGY, INC",3,3
CHELSEA THERAPEUTICS INC,1,1
"CHEMO RESEARCH, S.L.",1,1
CHEMOCENTRYX INC,4,3
CHENGDU KANGHONG BIOTECHNOLOGY CO. LTD.,1,1
CHIASMA INC,1,1
CHIESI FARMACEUTICI S.P.A.,5,5
CHILD & FAMILY RESEARCH INSTITUTE,1,1
"CHILDREN'S HEALTHCARE OF ATLANTA, INC",1,1
CHILDREN'S RESEARCH INSTITUTE,1,1
CHILDRENS HOSPITAL OF EASTERN ONTARIO,7,7
CHILDRENS HOSPITAL OF EASTERN ONTARIO RESEARCH INSTITUTE,3,3
CHILDRENS ONCOLOGY GROUP,72,78
CHIMERIX INC,6,3
"CHINOOK THERAPEUTICS U.S., INC.",1,1
"CHINOOK THERAPEUTICS, INC.",1,1
CHU DE QUÉBEC-UNIVERSITÉ LAVAL,18,16
CHU SAINTE JUSTINE,5,5
CHUGAI PHARMACEUTICAL CO LTD,2,2
CHX TECHNOLOGIES INC,3,2
CIRCASSIA LTD,9,6
CITRYLL BV,1,1
CIUSSS DE L'EST DE L'ILE-DE-MONTRÉAL,5,5
CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,12,12
"CIUSSS DU CENTRE-OUEST-DE-L’ILE-DE-MONTREAL, INSTITUTION OF SANTÉ QUEBEC",1,1
CIUSSS DU NORD-DE-L'ILE-DE-MONTRÉAL - HÔPITAL DU SACRÉ-COEUR DE MONTRÉAL.,4,4
CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,1,1
CIVITAS THERAPEUTICS INC,2,1
CLAIRVOYANT THERAPEUTICS INC.,1,1
CLARIS BIOTHERAPEUTICS,1,1
CLEAVE BIOSCIENCES,1,1
CLEMENTIA PHARMACEUTICALS INC.,3,2
"CLENE NANOMEDICINE, INC",1,1
CLINIQUE DE RETINE DE L¿EST,1,1
CLINIQUE NEURO-OUTAOUAIS,2,2
CLINIQUE OVO,2,2
CLOVIS ONCOLOGY INC,10,4
COCRYSTAL PHARMA INC,1,1
