protocol_id,protocol_no,submission_no,status_id,start_date,end_date,nol_date,protocol_title,medConditionList,studyPopulationList
43679,FORMA-06,198881,1,2017-01-30,,2016-11-03,"PROSPECTIVE, MULTI-CENTER, RANDOMIZED, ACTIVE-CONTROL, NON-INFERIORITY STUDY COMPARING FIBRINOGEN CONCENTRATE WITH CRYOPRECIPITATE FOR THE TREATMENT OF ACQUIRED HYPOFIBRINOGENEMIA IN BLEEDING ADULT CARDIAC SURGICAL PATIENTS","[{'med_condition_id': 761, 'med_condition': 'HYPOFIBRINOGENEMIA'}, {'med_condition_id': 294, 'med_condition': 'CARDIAC SURGERY'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
54562,MS201430-0001,233202,1,2022-03-21,,2019-12-11,"PHASE I, FIRST-IN-HUMAN, OPEN-LABEL, MULTIPLE ASCENDING DOSE STUDY TO INVESTIGATE THE SAFETY, TOLERABILITY, PHARMACOKINETICS, PHARMACO DYNAMICS AND CLINICAL ACTIVITY OF M6223 (AN INHIBITOR OF TIGIT) AS SINGLE AGENT AND IN COMBINATION WITH BINTRAFUSP ALFA (ANTI-PDL1/ TGFSS TRAP IN PARTICIPANTS WITH METASTATIC OR LOCALLY ADVANCED SOLID UNRESECTABLE TUMORS.","[{'med_condition_id': 571, 'med_condition': 'ADVANCED SOLID TUMORS'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
52363,H18-03130,226201,3,,,2019-07-03,COMBINED TREATMENT OF ANGIOTENSIN RECEPTOR BLOCKER AND ANTIOXIDANT SUPPLEMENTAION AS A NOVEL ADJUNCTIVE THERAPY FOR 24-HOUR BLOOD PRESSURE IMPROVEMENT IN OBSTRUCTIVE SLEEP APNEA,"[{'med_condition_id': 310, 'med_condition': 'SLEEP APNEA'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
52373,CRSP-ONC-001,226230,1,2024-02-23,,2019-04-25,A PHASE 1/2 DOSE ESCALATION AND COHORT EXPANSION STUDY OF THE SAFETY AND EFFICACY OF ALLOGENEIC CRISPR-CAS9-ENGINEERED T CELLS (CTX110) IN SUBJECTS WITH RELAPSED OR REFRACTORY B-CELL MALIGNANCIES,"[{'med_condition_id': 815, 'med_condition': 'B-CELL MALIGNANCIES'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
52381,SY-1365-101,226259,3,,,2019-05-09,"A PHASE 1 STUDY OF SY-1365, A SELECTIVE CDK7 INHIBITOR, IN ADULT PATIENTS WITH ADVANCED SOLID TUMORS","[{'med_condition_id': 28, 'med_condition': 'BREAST CANCER'}, {'med_condition_id': 692, 'med_condition': 'PRIMARY PERITONEAL CANCER'}, {'med_condition_id': 183, 'med_condition': 'OVARIAN CANCER'}, {'med_condition_id': 278, 'med_condition': 'SOLID TUMORS'}, {'med_condition_id': 81, 'med_condition': 'FALLOPIAN TUBE CANCER'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
44285,CPDR001E2201,200646,1,2018-04-12,,2016-12-20,"AN OPEN LABEL PHASE II STUDY TO EVALUATE THE EFFICACY AND SAFETY OF PDR001 IN PATIENTS WITH ADVANCED OR METASTATIC NON-FUNCTIONAL NEUROENDOCRINE TUMORS OF PANCREATIC, GASTROINTESTIONAL (GI), OR THORACIC ORIGIN WHO HAVE PROGRESSED ON PRIOR TREATMENT","[{'med_condition_id': 633, 'med_condition': 'NEUROENDOCRINE TUMORS'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
45675,CLCZ696D2302,205139,2,2019-01-03,2019-10-28,2017-05-24,"A 24-WEEK, RANDOMIZED, DOUBLE-BLIND, MULTI-CENTER, PARALLEL GROUP, ACTIVE CONTROLLED STUDY TO EVALUATE THE EFFECT OF LCZ696 ON NT-PROBNP, SYMPTOMS, EXERCISE FUNCTION AND SAFETY COMPARED TO INDIVIDUALIZED MEDICAL MANAGEMENT OF COMORBIDITIES IN PATIENTS WITH HEART FAILURE AND PRESERVED EJECTION FRACTION","[{'med_condition_id': 523, 'med_condition': 'HEART FAILURE WITH PRESERVED EJECTION FRACTION'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
45374,VC02-102,204242,1,2017-06-30,,2017-04-26,AN OPEN-LABEL STUDY EVALUATING THE SAFETY AND TOLERABILITY OF VC-02 COMBINATION PRODUCT IN SUBJECTS WITH TYPE 1 DIABETES MELLITUS,"[{'med_condition_id': 256, 'med_condition': 'TYPE 1 DIABETES'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
28869,NP28761,170129,2,2014-03-05,2017-08-31,2013-12-18,A PHASE I/II STUDY OF THE ALK INHIBITOR CH5424802/ RO5424802 IN PATIENTS WITH ALK-REARRANGED NON-SMALL CELL LUNG CANCER PREVIOUSLY TREATED WITH CHEMOTHERAPY AND CRIZOTINIB,"[{'med_condition_id': 179, 'med_condition': 'NON-SMALL CELL LUNG CANCER'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
52313,D3614C00001,226028,2,2021-08-12,2024-10-01,2019-04-18,"A PHASE III DOUBLE-BLIND RANDOMISED STUDY ASSESSING THE EFFICACY AND SAFETY OF CAPIVASERTIB + PACLITAXEL VERSUS PLACEBO + PACLITAXEL AS FIRST-LINE TREATMENT FOR PATIENTS WITH HISTOLOGICALLY CONFIRMED, LOCALLY ADVANCED (INOPERABLE) OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","[{'med_condition_id': 627, 'med_condition': 'BREAST CANCER METASTATIC TRIPLE NEGATIVE'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
